1	 사업장 	 항목 	 공장그룹 	 일련번호 	 형식 	 관제점(채운용) 	 단위 	 표시 	 TAG 명 			 Primary Key 	 PID No 	 Line Size 	 Fluid Code 	Serial Number	 Matarial Spec 	 Insulation 	 관제점 설명 		 관제점 명칭 	 주기 	 Log 	 Event 	1
107	 성진산업 	 스팀 	 F03 	 0007 					 HS 	3208	설비	F030007-HS3208	 PID-VUP-306 	 40A 	 S 	3220	 A1 	 H 	성진산업	스팀		 aaa 			107
108	 성진산업 	 스팀 	 F03 	 0007 					 FI 	3208	관제점	F030007-FI3208	 PID-VUP-306 	 40A 	 S 	3220	 A1 	 H 	성진산업	스팀		 aaa 			108
109	 성진산업 	 스팀 	 F03 	 0007 					 FI 	3208	관제점	F030007-FI3208	 PID-VUP-306 	 40A 	 S 	3220	 A1 	 H 	성진산업	스팀		 aaa 			109
110	 성진산업 	 스팀 	 F03 	 0007 					 FT 	3208	설비	F030007-FT3208	 PID-VUP-306 	 40A 	 S 	3220	 A1 	 H 	성진산업	스팀		 aaa 			110
111	 성진산업 	 스팀 	 F03 	 0007 					 PI 	3208	관제점	F030007-PI3208	 PID-VUP-306 	 40A 	 S 	3220	 A1 	 H 	성진산업	스팀		 aaa 			111
112	 성진산업 	 스팀 	 F03 	 0007 					 PI 	3208	관제점	F030007-PI3208	 PID-VUP-306 	 40A 	 S 	3220	 A1 	 H 	성진산업	스팀		 aaa 			112
113	 성진산업 	 스팀 	 F03 	 0007 					 PT 	3208	설비	F030007-PT3208	 PID-VUP-306 	 40A 	 S 	3220	 A1 	 H 	성진산업	스팀		 aaa 			113
114	 씨와이 	 압공 	 F03 	 0008 					 XV 	3110	관제점	F030008-XV3110	 PID-VUP-308 	 25A 	 AIR 	3143	 A2 	 N 	씨와이	압공		 aaa 			114
115	 씨와이 	 압공 	 F03 	 0008 					 HS 	3110	설비	F030008-HS3110	 PID-VUP-308 	 25A 	 AIR 	3143	 A2 	 N 	씨와이	압공		 aaa 			115
116	 씨와이 	 압공 	 F03 	 0008 					 FI 	3110	관제점	F030008-FI3110	 PID-VUP-308 	 25A 	 AIR 	3143	 A2 	 N 	씨와이	압공		 aaa 			116
